id,customer_id,product_name,quantity,unit_price,order_date
1,1,Laptop,1,899.99,2026-02-01
2,1,Wireless Mouse,2,24.99,2026-02-01
3,3,Mechanical Keyboard,1,79.99,2026-02-03
4,3,USB-C Hub,1,34.50,2026-02-03
5,5,Monitor,2,179.50,2026-02-05
6,5,HDMI Cable,3,9.99,2026-02-05
7,6,Webcam,1,49.99,2026-02-07
8,6,Headset,1,59.99,2026-02-07
9,8,Desk Lamp,2,22.50,2026-02-09
10,8,Notebook Stand,1,31.25,2026-02-09
11,10,External SSD,1,129.99,2026-02-10
12,10,USB Drive,4,14.99,2026-02-10
13,11,Printer,1,199.99,2026-02-12
14,11,Ink Cartridge,2,29.99,2026-02-12
15,13,Office Chair,1,249.99,2026-02-14
16,13,Footrest,1,39.99,2026-02-14
17,14,Tablet,1,329.99,2026-02-16
18,14,Tablet Cover,1,19.99,2026-02-16
19,16,Smartphone,1,699.99,2026-02-18
20,16,Phone Charger,2,18.99,2026-02-18
21,17,Bluetooth Speaker,1,89.99,2026-02-20
22,17,Power Bank,1,44.99,2026-02-20
23,19,Router,1,119.99,2026-02-22
24,19,Ethernet Cable,3,7.99,2026-02-22
25,20,Coffee Maker,1,149.99,2026-02-24
26,20,Coffee Filters,2,8.49,2026-02-24
27,2,Desk Organizer,1,15.99,2026-02-25
28,4,Wall Clock,1,21.99,2026-02-26
29,7,Mouse Pad,2,11.50,2026-02-27
30,9,Portable Fan,1,27.99,2026-02-28
31,12,Water Bottle,2,13.75,2026-03-01
32,15,Laptop Sleeve,1,26.99,2026-03-02
33,18,Backpack,1,54.99,2026-03-03
34,1,Docking Station,1,119.99,2026-03-04
35,3,Monitor Stand,1,42.99,2026-03-04
36,5,Keyboard Wrist Rest,1,16.99,2026-03-05
37,6,Microphone,1,89.50,2026-03-05
38,8,LED Strip Lights,2,17.25,2026-03-06
39,10,Portable Monitor,1,199.00,2026-03-06
40,11,Paper Pack,5,6.99,2026-03-07